onset	duration	trial_type	value	sample
7.273	0.0	inv	80	7273
11.821	0.0	epn	150	11821
13.054	0.0	opn	120	13054
14.27	0.0	iipn	140	14270
15.553	0.0	inv	80	15553
16.92	0.0	apn	110	16920
18.152	0.0	epv	50	18152
19.519	0.0	ann	160	19519
24.15	0.0	inv	80	24150
25.517	0.0	enn	200	25517
26.683	0.0	iipv	40	26683
31.332	0.0	anv	60	31332
32.581	0.0	iinv	90	32581
33.881	0.0	epv	50	33881
35.23	0.0	inv	80	35230
36.48	0.0	epv	50	36480
37.663	0.0	ipv	30	37663
38.996	0.0	inv	80	38996
40.145	0.0	env	100	40145
41.528	0.0	opv	20	41528
42.678	0.0	env	100	42678
46.893	0.0	iinv	90	46893
48.226	0.0	apn	110	48226
49.576	0.0	enn	200	49576
50.908	0.0	epv	50	50908
52.158	0.0	onn	170	52158
53.324	0.0	iinn	190	53324
57.406	0.0	inn	180	57406
58.806	0.0	epn	150	58806
62.921	0.0	enn	200	62921
64.154	0.0	epn	150	64154
65.32	0.0	opv	20	65320
66.487	0.0	opn	120	66487
67.736	0.0	epn	150	67736
68.919	0.0	inv	80	68919
70.086	0.0	iinn	190	70086
73.834	0.0	iipv	40	73834
75.167	0.0	inn	180	75167
76.384	0.0	epv	50	76384
77.816	0.0	iipv	40	77816
79.166	0.0	iinn	190	79166
80.499	0.0	inv	80	80499
81.882	0.0	iipn	140	81882
83.048	0.0	opv	20	83048
84.181	0.0	iipn	140	84181
88.53	0.0	iipv	40	88530
89.896	0.0	ipv	30	89896
91.279	0.0	iinv	90	91279
92.662	0.0	opv	20	92662
93.994	0.0	iipv	40	93994
95.244	0.0	inn	180	95244
99.343	0.0	iipv	40	99343
100.542	0.0	ann	160	100542
101.909	0.0	onn	170	101909
103.091	0.0	ipn	130	103091
104.324	0.0	ann	160	104324
109.689	0.0	inv	80	109689
111.039	0.0	iinv	90	111039
112.272	0.0	epv	50	112272
113.571	0.0	env	100	113571
118.57	0.0	ann	160	118570
119.919	0.0	epn	150	119919
121.252	0.0	onn	170	121252
122.668	0.0	anv	60	122668
124.068	0.0	apn	110	124068
125.368	0.0	inn	180	125368
129.799	0.0	onv	70	129799
130.949	0.0	apv	10	130949
132.282	0.0	epn	150	132282
133.648	0.0	ipv	30	133648
134.814	0.0	env	100	134814
139.213	0.0	ipv	30	139213
140.629	0.0	iipn	140	140629
141.912	0.0	onn	170	141912
143.045	0.0	enn	200	143045
144.461	0.0	iinv	90	144461
145.594	0.0	ipv	30	145594
147.011	0.0	apv	10	147011
148.293	0.0	inn	180	148293
152.275	0.0	iipn	140	152275
153.492	0.0	iinv	90	153492
154.858	0.0	iipv	40	154858
156.108	0.0	iipn	140	156108
157.507	0.0	iinn	190	157507
158.907	0.0	iipv	40	158907
160.323	0.0	env	100	160323
164.805	0.0	inv	80	164805
166.204	0.0	onn	170	166204
167.421	0.0	opn	120	167421
168.62	0.0	apn	110	168620
170.003	0.0	anv	60	170003
174.252	0.0	onv	70	174252
175.435	0.0	opv	20	175435
176.817	0.0	anv	60	176817
178.05	0.0	apv	10	178050
179.267	0.0	apn	110	179267
183.565	0.0	opn	120	183565
184.815	0.0	inn	180	184815
186.048	0.0	iinv	90	186048
187.381	0.0	opn	120	187381
188.63	0.0	iipn	140	188630
189.847	0.0	inn	180	189847
194.895	0.0	iipn	140	194895
196.178	0.0	apv	10	196178
197.594	0.0	apn	110	197594
198.777	0.0	onv	70	198777
200.11	0.0	inn	180	200110
201.409	0.0	ann	160	201409
202.759	0.0	epv	50	202759
206.758	0.0	apn	110	206758
207.974	0.0	iipn	140	207974
209.107	0.0	inn	180	209107
210.507	0.0	anv	60	210507
211.906	0.0	epv	50	211906
213.289	0.0	iinv	90	213289
218.337	0.0	ipn	130	218337
219.67	0.0	opv	20	219670
221.003	0.0	ipn	130	221003
222.353	0.0	onv	70	222353
223.652	0.0	iinn	190	223652
228.701	0.0	ipv	30	228701
229.9	0.0	apn	110	229900
231.183	0.0	anv	60	231183
232.333	0.0	epv	50	232333
233.532	0.0	onv	70	233532
234.882	0.0	onn	170	234882
236.165	0.0	anv	60	236165
240.663	0.0	inv	80	240663
241.863	0.0	iinn	190	241863
243.213	0.0	onn	170	243213
244.412	0.0	inn	180	244412
246.967	0.0	buttonpress	240	246967
248.694	0.0	iipn	140	248694
249.91	0.0	epv	50	249910
251.227	0.0	apn	110	251227
252.576	0.0	inv	80	252576
253.709	0.0	ipv	30	253709
255.075	0.0	enn	200	255075
258.324	0.0	ipv	30	258324
259.69	0.0	opn	120	259690
260.907	0.0	iinv	90	260907
262.206	0.0	onv	70	262206
263.506	0.0	env	100	263506
264.889	0.0	ipv	30	264889
266.222	0.0	ipn	130	266222
267.405	0.0	apv	10	267405
268.738	0.0	onv	70	268738
270.104	0.0	ann	160	270104
274.202	0.0	iipv	40	274202
275.502	0.0	epn	150	275502
276.802	0.0	anv	60	276802
278.035	0.0	ann	160	278035
279.351	0.0	iinn	190	279351
283.816	0.0	anv	60	283816
284.982	0.0	apv	10	284982
286.315	0.0	iipv	40	286315
287.698	0.0	apv	10	287698
289.014	0.0	inn	180	289014
293.396	0.0	ann	160	293396
294.562	0.0	opn	120	294562
295.712	0.0	enn	200	295712
297.012	0.0	iipn	140	297012
298.362	0.0	ann	160	298362
299.561	0.0	opv	20	299561
300.777	0.0	anv	60	300777
301.91	0.0	opn	120	301910
306.175	0.0	ann	160	306175
307.342	0.0	apv	10	307342
312.023	0.0	iinn	190	312023
313.273	0.0	onv	70	313273
314.556	0.0	inn	180	314556
315.839	0.0	onv	70	315839
317.138	0.0	ipn	130	317138
318.438	0.0	iinn	190	318438
319.804	0.0	opn	120	319804
321.171	0.0	onv	70	321171
322.303	0.0	anv	60	322303
323.703	0.0	env	100	323703
327.768	0.0	ipv	30	327768
328.951	0.0	epv	50	328951
330.184	0.0	iipv	40	330184
334.516	0.0	onv	70	334516
335.749	0.0	onn	170	335749
336.882	0.0	apv	10	336882
338.082	0.0	anv	60	338082
339.248	0.0	onv	70	339248
343.363	0.0	iinv	90	343363
344.613	0.0	epv	50	344613
345.912	0.0	onn	170	345912
347.079	0.0	epv	50	347079
348.245	0.0	ipn	130	348245
349.628	0.0	inn	180	349628
350.844	0.0	iipv	40	350844
355.226	0.0	onn	170	355226
356.409	0.0	iinn	190	356409
357.642	0.0	enn	200	357642
359.058	0.0	iinn	190	359058
360.241	0.0	ipn	130	360241
363.973	0.0	ann	160	363973
365.356	0.0	iinn	190	365356
366.639	0.0	epv	50	366639
367.972	0.0	epn	150	367972
369.371	0.0	iinn	190	369371
370.688	0.0	iipn	140	370688
372.087	0.0	iinv	90	372087
376.636	0.0	ipv	30	376636
377.902	0.0	enn	200	377902
379.085	0.0	ann	160	379085
380.451	0.0	env	100	380451
381.817	0.0	opv	20	381817
382.95	0.0	apv	10	382950
384.25	0.0	iipn	140	384250
385.583	0.0	iinn	190	385583
389.965	0.0	enn	200	389965
391.364	0.0	env	100	391364
392.497	0.0	anv	60	392497
393.913	0.0	iipv	40	393913
395.13	0.0	iipn	140	395130
396.313	0.0	anv	60	396313
400.961	0.0	onn	170	400961
402.094	0.0	opn	120	402094
403.344	0.0	apv	10	403344
404.677	0.0	anv	60	404677
406.026	0.0	iinn	190	406026
407.409	0.0	iipv	40	407409
408.742	0.0	iinv	90	408742
413.307	0.0	opn	120	413307
414.723	0.0	ann	160	414723
415.956	0.0	anv	60	415956
417.273	0.0	apn	110	417273
418.605	0.0	epn	150	418605
423.187	0.0	iipn	140	423187
424.32	0.0	anv	60	424320
425.703	0.0	iipn	140	425703
426.969	0.0	onv	70	426969
431.335	0.0	iipv	40	431335
432.634	0.0	enn	200	432634
433.767	0.0	opv	20	433767
435.083	0.0	ipv	30	435083
436.483	0.0	apv	10	436483
437.899	0.0	iinn	190	437899
439.249	0.0	ipn	130	439249
440.599	0.0	enn	200	440599
444.947	0.0	opv	20	444947
446.33	0.0	inn	180	446330
447.646	0.0	enn	200	447646
448.862	0.0	anv	60	448862
454.144	0.0	enn	200	454144
455.41	0.0	opn	120	455410
456.593	0.0	ipn	130	456593
457.843	0.0	apn	110	457843
459.042	0.0	iinv	90	459042
463.574	0.0	ipn	130	463574
464.957	0.0	env	100	464957
466.107	0.0	iinv	90	466107
467.506	0.0	ipv	30	467506
468.689	0.0	inn	180	468689
469.822	0.0	iinv	90	469822
471.138	0.0	onn	170	471138
472.271	0.0	env	100	472271
477.27	0.0	onn	170	477270
478.486	0.0	epn	150	478486
479.902	0.0	apn	110	479902
481.068	0.0	opn	120	481068
482.235	0.0	epv	50	482235
483.401	0.0	onv	70	483401
487.433	0.0	apv	10	487433
488.633	0.0	enn	200	488633
489.766	0.0	apn	110	489766
490.915	0.0	inn	180	490915
